"au_medcodeid","term","group_16_num","group_16","group_6_num","group_6"
"au_141391000000115","african - ethnic category 2001 census",13,"african",4,"black"
"au_250223019","african origin",13,"african",4,"black"
"au_1968531000006115","african: african/african scot/african brit - scotland 2011",13,"african",4,"black"
"au_1968541000006113","african: any other african - scotland ethnic cat 2011 census",13,"african",4,"black"
"au_138231000000116","albanian - ethnic category 2001 census",3,"other white",1,"white"
"au_142901000000119","any other group - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_138251000000111","arab - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_158361000000116","asian and chinese - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_1968301000006118","asian or asian british: indian - ni ethnic cat 2011 census",8,"indian",3,"south asian"
"au_250224013","asian origin",11,"other south asian",3,"south asian"
"au_1968151000006117","asian/asian brit: bangladeshi- eng+wales eth cat 2011 census",10,"bangladeshi",3,"south asian"
"au_1968161000006115","asian/asian brit: chinese - eng+wales ethnic cat 2011 census",15,"chinese",5,"chinese and other"
"au_1968131000006112","asian/asian brit: indian - eng+wales ethnic cat 2011 census",8,"indian",3,"south asian"
"au_1968171000006110","asian/asian brit: other asian- eng+wales eth cat 2011 census",11,"other south asian",3,"south asian"
"au_1968321000006111","asian/asian british: bangladeshi - ni ethnic cat 2011 census",10,"bangladeshi",3,"south asian"
"au_1968331000006114","asian/asian british: chinese - ni ethnic cat 2011 census",15,"chinese",5,"chinese and other"
"au_1968341000006116","asian/asian british: other asian - ni ethnic cat 2011 census",11,"other south asian",3,"south asian"
"au_1968311000006115","asian/asian british: pakistani - ni ethnic cat 2011 census",9,"pakistani",3,"south asian"
"au_1968141000006119","asian/asian british:pakistani- eng+wales eth cat 2011 census",9,"pakistani",3,"south asian"
"au_1968511000006114","asian: chinese - scotland ethnic category 2011 census",15,"chinese",5,"chinese and other"
"au_1968491000006115","asian: indian, indian scot/indian brit- scotland 2011 census",8,"indian",3,"south asian"
"au_1968521000006118","asian: other asian group - scotland ethnic cat 2011 census",11,"other south asian",3,"south asian"
"au_1968481000006118","asian: pakistani/pakistani scot/pakistani brit- scot 2011",9,"pakistani",3,"south asian"
"au_937301000006110","baltic estonian/latvian/lithuanian - ethn categ 2001 census",3,"other white",1,"white"
"au_1564291000006119","bangladeshi",10,"bangladeshi",3,"south asian"
"au_285956019","bangladeshi",10,"bangladeshi",3,"south asian"
"au_937541000006115","bangladeshi or british bangladeshi - ethn categ 2001 census",10,"bangladeshi",3,"south asian"
"au_1968501000006111","bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",10,"bangladeshi",3,"south asian"
"au_459730016","black - ethnic group",14,"other black",4,"black"
"au_285943014","black - other african country",14,"other black",4,"black"
"au_285949013","black - other asian",14,"other black",4,"black"
"au_285951012","black - other, mixed",7,"other mixed",2,"mixed"
"au_30683015","black african",13,"african",4,"black"
"au_460154012","black african and white",5,"white and african",2,"mixed"
"au_141471000000113","black and asian - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_141481000000110","black and chinese - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_157291000000115","black and white - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_411574019","black arab",14,"other black",4,"black"
"au_285950013","black black - other",14,"other black",4,"black"
"au_285932018","black british",14,"other black",4,"black"
"au_157311000000119","black british - ethnic category 2001 census",14,"other black",4,"black"
"au_285930014","black caribbean",12,"carribean",4,"black"
"au_514611000006111","black caribbean",12,"carribean",4,"black"
"au_460153018","black caribbean and white",4,"white and carribean",2,"mixed"
"au_405064011","black caribbean/w.i./guyana",12,"carribean",4,"black"
"au_5516681000006114","black caribbean/west india/guyana",12,"carribean",4,"black"
"au_514651000006112","black e afric asia/indo-caribb",14,"other black",4,"black"
"au_411576017","black east african asian",14,"other black",4,"black"
"au_453110019","black guyana",14,"other black",4,"black"
"au_285948017","black indian sub-continent",14,"other black",4,"black"
"au_411577014","black indo-caribbean",14,"other black",4,"black"
"au_411575018","black iranian",14,"other black",4,"black"
"au_405065012","black n african/arab/iranian",14,"other black",4,"black"
"au_411573013","black north african",13,"african",4,"black"
"au_453109012","black west indian",12,"carribean",4,"black"
"au_285931013","black, other, non-mixed origin",14,"other black",4,"black"
"au_1968351000006119","black/afri/carib/black brit: african- ni eth cat 2011 census",14,"other black",4,"black"
"au_1968361000006117","black/afri/carib/black brit: caribbean- ni eth cat 2011 cens",14,"other black",4,"black"
"au_1968181000006113","black/african/carib/black brit: african- eng+wales 2011 cens",14,"other black",4,"black"
"au_1968191000006111","black/african/caribbn/black brit: caribbean - eng+wales 2011",14,"other black",4,"black"
"au_142751000000115","bosnian - ethnic category 2001 census",3,"other white",1,"white"
"au_285959014","brit. ethnic minor. spec.(nmo)",16,"other",5,"chinese and other"
"au_285960016","brit. ethnic minor. unsp (nmo)",16,"other",5,"chinese and other"
"au_1564391000006113","british",1,"white british",1,"white"
"au_141561000000119","british asian - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_4740241000006117","british ethnic minority specified (nmo)",16,"other",5,"chinese and other"
"au_4740261000006118","british ethnic minority unspecified (nmo)",16,"other",5,"chinese and other"
"au_713341000000111","british israelite",16,"other",5,"chinese and other"
"au_158341000000117","british or mixed british - ethnic category 2001 census",1,"white british",1,"white"
"au_142881000000117","buddhist - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_1968571000006117","carib/black: any other black/caribbean grp - scotland 2011",14,"other black",4,"black"
"au_1968551000006110","carib/black: caribbean/carib scot/carib brit- scotland 2011",12,"carribean",4,"black"
"au_154401000000118","caribbean - ethnic category 2001 census",12,"carribean",4,"black"
"au_141571000000114","caribbean asian - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_405067016","caribbean i./w.i./guyana (nmo)",12,"carribean",4,"black"
"au_411578016","caribbean island (nmo)",12,"carribean",4,"black"
"au_6846371000006111","caucasian",1,"white british",1,"white"
"au_1564491000006115","central african",13,"african",4,"black"
"au_4917081000006119","central african republic",13,"african",4,"black"
"au_56590016","chinese",15,"chinese",5,"chinese and other"
"au_141401000000117","chinese - ethnic category 2001 census",15,"chinese",5,"chinese and other"
"au_141491000000112","chinese and white - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_937311000006113","commonwealth (russian) indep states - ethn categ 2001 census",3,"other white",1,"white"
"au_141461000000118","cornish - ethnic category 2001 census",3,"other white",1,"white"
"au_142761000000117","croatian - ethnic category 2001 census",3,"other white",1,"white"
"au_141661000000115","cypriot (part not stated) - ethnic category 2001 census",3,"other white",1,"white"
"au_405069018","e afric asian/indo-carib (nmo)",11,"other south asian",3,"south asian"
"au_141541000000115","east african asian - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_411583012","east african asian (nmo)",11,"other south asian",3,"south asian"
"au_157281000000117","english - ethnic category 2001 census",3,"other white",1,"white"
"au_141641000000116","filipino - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_142701000000116","greek - ethnic category 2001 census",3,"other white",1,"white"
"au_411594011","greek (nmo)",3,"other white",1,"white"
"au_142711000000119","greek cypriot - ethnic category 2001 census",3,"other white",1,"white"
"au_411595012","greek cypriot (nmo)",3,"other white",1,"white"
"au_405070017","greek/greek cypriot (nmo)",3,"other white",1,"white"
"au_411580010","guyana (nmo)",14,"other black",4,"black"
"au_138191000000113","gypsy/romany - ethnic category 2001 census",3,"other white",1,"white"
"au_157351000000115","hindu - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_1564921000006112","indian",8,"indian",3,"south asian"
"au_285954016","indian",8,"indian",3,"south asian"
"au_781081000006113","indian",8,"indian",3,"south asian"
"au_157271000000119","indian or british indian - ethnic category 2001 census",8,"indian",3,"south asian"
"au_250228011","indian origin",8,"indian",3,"south asian"
"au_285976013","indian sub-continent (nmo)",8,"indian",3,"south asian"
"au_411584018","indo-caribbean (nmo)",11,"other south asian",3,"south asian"
"au_138261000000114","iranian - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_411582019","iranian (nmo)",16,"other",5,"chinese and other"
"au_1564961000006118","irish",2,"white irish",1,"white"
"au_141301000000110","irish - ethnic category 2001 census",2,"white irish",1,"white"
"au_285978014","irish (nmo)",2,"white irish",1,"white"
"au_459786016","irish traveller",2,"white irish",1,"white"
"au_138171000000114","irish traveller - ethnic category 2001 census",2,"white irish",1,"white"
"au_1968251000006113","irish traveller - northern ireland ethnic cat 2011 census",2,"white irish",1,"white"
"au_142831000000116","israeli - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_158481000000115","italian - ethnic category 2001 census",3,"other white",1,"white"
"au_141631000000113","japanese - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_138241000000113","jewish - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_141531000000112","kashmiri - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_142741000000118","kosovan - ethnic category 2001 census",3,"other white",1,"white"
"au_142841000000113","kurdish - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_142861000000114","latin american - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_141651000000118","malaysian - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_937941000006111","mauritian/seychellois/maldivian/st helena eth cat 2001census",16,"other",5,"chinese and other"
"au_937871000006114","mid east (excl israeli, iranian & arab) - eth cat 2001 cens",16,"other",5,"chinese and other"
"au_141511000000116","mixed asian - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_158371000000111","mixed black - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_459729014","mixed ethnic census group",7,"other mixed",2,"mixed"
"au_142781000000114","mixed irish and other white - ethnic category 2001 census",2,"white irish",1,"white"
"au_1968471000006116","mixed/multiple ethnic grps: any- scot ethnic cat 2011 census",7,"other mixed",2,"mixed"
"au_1968291000006119","mixed: other mixed/multiple ethnic backgrd - ni 2011 census",7,"other mixed",2,"mixed"
"au_1968281000006117","mixed: white and asian - ni ethnic category 2011 census",6,"white and asian",2,"mixed"
"au_1968271000006115","mixed: white and black african - ni ethnic cat 2011 census",5,"white and african",2,"mixed"
"au_1968261000006110","mixed: white and black caribbean - ni ethnic cat 2011 census",4,"white and carribean",2,"mixed"
"au_1968111000006118","mixed: white+asian - eng+wales ethnic category 2011 census",6,"white and asian",2,"mixed"
"au_1968101000006116","mixed: white+black african - eng+wales eth cat 2011 census",5,"white and african",2,"mixed"
"au_1968091000006110","mixed: white+black caribbean - eng+wales eth cat 2011 census",4,"white and carribean",2,"mixed"
"au_142851000000111","moroccan - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_138281000000117","muslim - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_405068014","n african arab/iranian (nmo)",16,"other",5,"chinese and other"
"au_286022019","new zealand ethnic group nos",16,"other",5,"chinese and other"
"au_286006015","new zealand ethnic groups",16,"other",5,"chinese and other"
"au_141601000000119","nigerian - ethnic category 2001 census",14,"other black",4,"black"
"au_142811000000112","north african - ethnic category 2001 census",13,"african",4,"black"
"au_411581014","north african arab (nmo)",16,"other",5,"chinese and other"
"au_141451000000116","northern irish - ethnic category 2001 census",3,"other white",1,"white"
"au_412016016","o/e - asian origin",11,"other south asian",3,"south asian"
"au_937391000006115","oth white european/european unsp/mixed european 2001 census",3,"other white",1,"white"
"au_141411000000115","other - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_285971015","other african countries (nmo)",13,"african",4,"black"
"au_286020010","other asian",11,"other south asian",3,"south asian"
"au_285977016","other asian (nmo)",11,"other south asian",3,"south asian"
"au_141381000000117","other asian background - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_459784018","other asian ethnic group",11,"other south asian",3,"south asian"
"au_937651000006117","other asian or asian unspecified ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_285953010","other black - black/asian orig",7,"other mixed",2,"mixed"
"au_285952017","other black - black/white orig",7,"other mixed",2,"mixed"
"au_158351000000119","other black background - ethnic category 2001 census",14,"other black",4,"black"
"au_459782019","other black ethnic group",14,"other black",4,"black"
"au_937731000006115","other black or black unspecified ethnic category 2001 census",14,"other black",4,"black"
"au_459785017","other ethnic group",16,"other",5,"chinese and other"
"au_1968391000006113","other ethnic group: any other grp- ni ethnic cat 2011 census",16,"other",5,"chinese and other"
"au_1968211000006112","other ethnic group: arab - eng+wales ethnic cat 2011 census",16,"other",5,"chinese and other"
"au_1968381000006110","other ethnic group: arab - ni ethnic category 2011 census",16,"other",5,"chinese and other"
"au_1968591000006116","other ethnic grp: any other ethnic grp- scotland 2011 census",16,"other",5,"chinese and other"
"au_1968581000006119","other ethnic grp: arab/arab scot/arab british- scotland 2011",16,"other",5,"chinese and other"
"au_285988010","other ethnic nec (nmo)",16,"other",5,"chinese and other"
"au_285958018","other ethnic non-mixed (nmo)",16,"other",5,"chinese and other"
"au_285991010","other ethnic, asian/white orig",6,"white and asian",2,"mixed"
"au_4740361000006111","other ethnic, asian/white origin",6,"white and asian",2,"mixed"
"au_285990011","other ethnic, black/white orig",7,"other mixed",2,"mixed"
"au_4740341000006112","other ethnic, black/white origin",7,"other mixed",2,"mixed"
"au_285989019","other ethnic, mixed origin",7,"other mixed",2,"mixed"
"au_285992015","other ethnic, mixed white orig",7,"other mixed",2,"mixed"
"au_4740381000006118","other ethnic, mixed white origin",7,"other mixed",2,"mixed"
"au_285993013","other ethnic, other mixed orig",7,"other mixed",2,"mixed"
"au_4740401000006118","other ethnic, other mixed origin",7,"other mixed",2,"mixed"
"au_1968221000006116","other ethnic: any other grp - eng+wales eth cat 2011 census",16,"other",5,"chinese and other"
"au_285987017","other european (nmo)",3,"other white",1,"white"
"au_141351000000111","other mixed background - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_937511000006119","other mixed or mixed unspecified ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_142791000000111","other mixed white - ethnic category 2001 census",3,"other white",1,"white"
"au_286021014","other new zealand ethnic group",16,"other",5,"chinese and other"
"au_286017019","other pacific ethnic group",16,"other",5,"chinese and other"
"au_937371000006116","other republics former yugoslavia - ethnic categ 2001 census",3,"other white",1,"white"
"au_141311000000112","other white background - ethnic category 2001 census",3,"other white",1,"white"
"au_1780408016","other white british ethnic group",1,"white british",1,"white"
"au_459728018","other white ethnic group",3,"other white",1,"white"
"au_937411000006115","other white or white unspecified ethnic category 2001 census",3,"other white",1,"white"
"au_1565441000006111","pakistani",9,"pakistani",3,"south asian"
"au_285955015","pakistani",9,"pakistani",3,"south asian"
"au_141361000000114","pakistani or british pakistani - ethnic category 2001 census",9,"pakistani",3,"south asian"
"au_138201000000110","polish - ethnic category 2001 census",3,"other white",1,"white"
"au_141521000000110","punjabi - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_196601000006113","race: afro-caribbean",12,"carribean",4,"black"
"au_196611000006111","race: afro-caucasian",5,"white and african",2,"mixed"
"au_196631000006117","race: bangladeshi",10,"bangladeshi",3,"south asian"
"au_196641000006110","race: caucasian",1,"white british",1,"white"
"au_196721000006111","race: pakistani",9,"pakistani",3,"south asian"
"au_250243013","race: west indian",12,"carribean",4,"black"
"au_2645811000000115","roma ethnic group",3,"other white",1,"white"
"au_141431000000111","scottish - ethnic category 2001 census",3,"other white",1,"white"
"au_157991000000110","serbian - ethnic category 2001 census",3,"other white",1,"white"
"au_142891000000115","sikh - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_157301000000116","sinhalese - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_141591000000113","somali - ethnic category 2001 census",14,"other black",4,"black"
"au_1565711000006118","south african",16,"other",5,"chinese and other"
"au_138271000000119","south and central american - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_286018012","south east asian",11,"other south asian",3,"south asian"
"au_136081000000111","sri lankan - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_141551000000117","tamil - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_138181000000111","traveller - ethnic category 2001 census",3,"other white",1,"white"
"au_156921000000110","turkish - ethnic category 2001 census",3,"other white",1,"white"
"au_411596013","turkish (nmo)",3,"other white",1,"white"
"au_142721000000113","turkish cypriot - ethnic category 2001 census",3,"other white",1,"white"
"au_411597016","turkish cypriot (nmo)",3,"other white",1,"white"
"au_405071018","turkish/turkish cypriot (nmo)",3,"other white",1,"white"
"au_142691000000116","ulster scots - ethnic category 2001 census",3,"other white",1,"white"
"au_456650013","vietnamese",16,"other",5,"chinese and other"
"au_141621000000111","vietnamese - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_141441000000119","welsh - ethnic category 2001 census",3,"other white",1,"white"
"au_411579012","west indian (nmo)",12,"carribean",4,"black"
"au_250231012","west indian origin",12,"carribean",4,"black"
"au_285925010","white",1,"white british",1,"white"
"au_2486161000000112","white - northern ireland ethnic category 2011 census",3,"other white",1,"white"
"au_141341000000113","white and asian - ethnic category 2001 census",6,"white and asian",2,"mixed"
"au_141331000000116","white and black african - ethnic category 2001 census",5,"white and african",2,"mixed"
"au_141321000000118","white and black caribbean - ethnic category 2001 census",4,"white and carribean",2,"mixed"
"au_459726019","white british",1,"white british",1,"white"
"au_1063981000000117","white british - ethnic category 2001 census",1,"white british",1,"white"
"au_459727011","white irish",2,"white irish",1,"white"
"au_1064041000000111","white irish - ethnic category 2001 census",2,"white irish",1,"white"
"au_1780407014","white scottish",1,"white british",1,"white"
"au_1968071000006114","white: gypsy/irish traveller - eng+wales eth cat 2011 census",3,"other white",1,"white"
"au_1968441000006112","white: gypsy/irish traveller - scotland ethnic cat 2011 cens",3,"other white",1,"white"
"au_2484671000000118","white: irish - england and wales ethnic category 2011 census",2,"white irish",1,"white"
"au_2487361000000112","white: irish - scotland ethnic category 2011 census",2,"white irish",1,"white"
"au_2487321000000116","white: other british - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_1968081000006112","white: other white backgrd- eng+wales ethnic cat 2011 census",3,"other white",1,"white"
"au_1968461000006111","white: other white ethnic grp- scotland ethnic cat 2011 cens",3,"other white",1,"white"
"au_2487481000000113","white: polish - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_2487281000000112","white: scottish - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_1968051000006116","white:eng/welsh/scot/ni/brit - england and wales 2011 census",1,"white british",1,"white"
"au_286020010","asian - ethnic group",11,"other south asian",3,"south asian"
"au_1968561000006112","Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens",14,"other black",4,"black"
"au_1160331000000119","Czech",3,"other white",1,"white"
"au_2615461000000111","Czwch Roma",3,"other white",1,"white"
"au_501416013","fijian",16,"other",5,"chinese and other"
"au_2615531000000117","Hungarian Roma",3,"other white",1,"white"
"au_1572831000000110","Nepali",11,"other south asian",3,"south asian"
"au_286007012","New Zealand European",3,"other white",1,"white"
"au_286012013","New Zealand Maori",16,"other",5,"chinese and other"
"au_2615571000000115","Polish Roma",3,"other white",1,"white"
"au_133078012","Portuguese",3,"other white",1,"white"
"au_1565081000006111","Korean (south)",16,"other",5,"chinese and other"
"au_1158211000000111","Romanian",3,"other white",1,"white"
"au_2615611000000112","Romanian Roma",3,"other white",1,"white"
"au_507015012","Samoan",16,"other",5,"chinese and other"
"au_1551471000000116","Slovak",3,"other white",1,"white"
"au_2615361000000115","Slovak Roma",3,"other white",1,"white"
